Cycle Index,Step Index,Date,Current(mA),Voltage(V),Chg. Cap.(mAh),DChg. Cap.(mAh)
1,1,2026-01-01  00:00:00.0,200.0,2.5049,0.038,0.0
1,1,2026-01-01  00:00:36.0,200.0,2.506,0.076,0.0
1,1,2026-01-01  00:01:12.0,200.0,2.5058,0.114,0.0
1,1,2026-01-01  00:01:48.0,200.0,2.521,0.152,0.0
1,1,2026-01-01  00:02:24.0,200.0,2.519,0.19,0.0
1,1,2026-01-01  00:03:00.0,200.0,2.5296,0.228,0.0
1,1,2026-01-01  00:03:36.0,200.0,2.5384,0.266,0.0
1,1,2026-01-01  00:04:12.0,200.0,2.5526,0.304,0.0
1,1,2026-01-01  00:04:48.0,200.0,2.5598,0.342,0.0
1,1,2026-01-01  00:05:24.0,200.0,2.5793,0.38,0.0
1,1,2026-01-01  00:06:00.0,200.0,2.592,0.418,0.0
1,1,2026-01-01  00:06:36.0,200.0,2.6187,0.456,0.0
1,1,2026-01-01  00:07:12.0,200.0,2.6378,0.494,0.0
1,1,2026-01-01  00:07:48.0,200.0,2.6676,0.532,0.0
1,1,2026-01-01  00:08:24.0,200.0,2.7073,0.57,0.0
1,1,2026-01-01  00:09:00.0,200.0,2.7399,0.608,0.0
1,1,2026-01-01  00:09:36.0,200.0,2.7811,0.646,0.0
1,1,2026-01-01  00:10:12.0,200.0,2.8337,0.684,0.0
1,1,2026-01-01  00:10:48.0,200.0,2.8783,0.722,0.0
1,1,2026-01-01  00:11:24.0,200.0,2.9286,0.76,0.0
1,1,2026-01-01  00:12:00.0,200.0,2.9897,0.798,0.0
1,1,2026-01-01  00:12:36.0,200.0,3.0421,0.836,0.0
1,1,2026-01-01  00:13:12.0,200.0,3.1078,0.874,0.0
1,1,2026-01-01  00:13:48.0,200.0,3.1662,0.912,0.0
1,1,2026-01-01  00:14:24.0,200.0,3.2173,0.95,0.0
1,1,2026-01-01  00:15:00.0,200.0,3.2709,0.988,0.0
1,1,2026-01-01  00:15:36.0,200.0,3.3236,1.026,0.0
1,1,2026-01-01  00:16:12.0,200.0,3.3693,1.064,0.0
1,1,2026-01-01  00:16:48.0,200.0,3.4082,1.102,0.0
1,1,2026-01-01  00:17:24.0,200.0,3.4501,1.14,0.0
1,1,2026-01-01  00:18:00.0,200.0,3.4752,1.178,0.0
1,1,2026-01-01  00:18:36.0,200.0,3.5086,1.216,0.0
1,1,2026-01-01  00:19:12.0,200.0,3.5334,1.254,0.0
1,1,2026-01-01  00:19:48.0,200.0,3.555,1.292,0.0
1,1,2026-01-01  00:20:24.0,200.0,3.5746,1.33,0.0
1,1,2026-01-01  00:21:00.0,200.0,3.5852,1.368,0.0
1,1,2026-01-01  00:21:36.0,200.0,3.6034,1.406,0.0
1,1,2026-01-01  00:22:12.0,200.0,3.6117,1.444,0.0
